"DEPTH_BIN","NEW_MRE","NEW_MAE","NEW_BIAS","OLD_MRE","OLD_MAE","OLD_BIAS","REGION"
"0-50",0.130700631416062,0.0617165337525394,0.927137962302289,0.130679431105905,0.0584301056535382,0.964053418800325,"AI"
"50-100",0.0504103540567059,0.0213218812837841,1.01837288396307,0.0616163640529554,0.028713241726905,1.00161314549256,"AI"
"100-200",0.0442685242740121,0.0196529089311664,0.993107304780834,0.0593482797235181,0.028628142827316,0.972992473361545,"AI"
"200-300",0.291980054602265,0.0285012371404104,1.01650801554026,0.0646337884626028,0.028325323401616,0.99332771656431,"AI"
"300-400",0.0617915068495647,0.0254249264939416,1.01801980204704,0.0654458703072229,0.0275725016443836,1.00969103037322,"AI"
"400-500",0.0480878628953349,0.0206544597667234,0.999466069154683,0.0343506161272969,0.0146068409551939,1.01244429056195,"AI"
